2017-12-06 10:30:10.282 GMT+08:00 Wed |    Debug | T0000024104 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00182 | [downloader - 7486664] file transmit done notify: notify file name (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/DEEP/jad_ba_0090_lgt_landingboat_v007_lps.beauty.0998.exr)
2017-12-06 10:30:10.283 GMT+08:00 Wed |    Debug | T0000024104 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00183 | [downloader - 7486664] [task:1] download file success (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/DEEP/jad_ba_0090_lgt_landingboat_v007_lps.beauty.0998.exr)
2017-12-06 10:30:10.289 GMT+08:00 Wed |    Debug | T0000024104 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00182 | [downloader - 7486664] file transmit done notify: notify file name (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/DEEP/jad_ba_0090_lgt_landingboat_v007_lps.beauty.0999.exr)
2017-12-06 10:30:10.290 GMT+08:00 Wed |    Debug | T0000024104 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00183 | [downloader - 7486664] [task:1] download file success (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/DEEP/jad_ba_0090_lgt_landingboat_v007_lps.beauty.0999.exr)
2017-12-06 10:30:10.297 GMT+08:00 Wed |    Debug | T0000024104 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00182 | [downloader - 7486664] file transmit done notify: notify file name (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/DEEP/jad_ba_0090_lgt_landingboat_v007_lps.beauty.1000.exr)
2017-12-06 10:30:10.298 GMT+08:00 Wed |    Debug | T0000024104 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00183 | [downloader - 7486664] [task:1] download file success (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/DEEP/jad_ba_0090_lgt_landingboat_v007_lps.beauty.1000.exr)
2017-12-06 10:30:10.307 GMT+08:00 Wed |    Debug | T0000024104 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00182 | [downloader - 7486664] file transmit done notify: notify file name (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/DEEP/jad_ba_0090_lgt_landingboat_v007_lps.beauty.1001.exr)
2017-12-06 10:30:10.308 GMT+08:00 Wed |    Debug | T0000024104 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00183 | [downloader - 7486664] [task:1] download file success (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/DEEP/jad_ba_0090_lgt_landingboat_v007_lps.beauty.1001.exr)
2017-12-06 10:30:10.314 GMT+08:00 Wed |    Debug | T0000024104 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00182 | [downloader - 7486664] file transmit done notify: notify file name (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/DEEP/jad_ba_0090_lgt_landingboat_v007_lps.beauty.1002.exr)
2017-12-06 10:30:10.314 GMT+08:00 Wed |    Debug | T0000024104 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00183 | [downloader - 7486664] [task:1] download file success (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/DEEP/jad_ba_0090_lgt_landingboat_v007_lps.beauty.1002.exr)
